Sample Number,1
Date & Time,2026-06-16 15:51:44.325313
Vopen (V),4.3
Ishort (A),18.2
Vmaxp (V),0.36
Imaxp (A),0.18
Pmax (W),0.0648
V (V),I (A),P (W)
0.429,0.1,0.0429
0.429,0.2,0.0858
0.429,0.3,0.1287
0.429,0.4,0.1716
0.43,0.6,0.258
0.429,0.7,0.3003
0.429,0.8,0.3432
0.429,0.9,0.3861
0.429,1.0,0.429
0.429,1.2,0.5148
0.429,1.3,0.5577
0.429,1.4,0.6006
0.429,1.5,0.6435
0.429,1.6,0.6864
0.429,1.8,0.7722
0.429,1.9,0.8151
0.429,2.0,0.858
0.429,2.1,0.9009
0.429,2.3,0.9867
0.429,2.4,1.0296
0.429,2.5,1.0725
0.429,2.6,1.1154
0.429,2.7,1.1583
0.429,2.9,1.2441
0.429,3.0,1.287
0.429,3.1,1.3299
0.429,3.2,1.3728
0.429,3.3,1.4157
0.429,3.5,1.5015
0.43,3.6,1.548
0.429,3.7,1.5873
0.43,3.8,1.634
0.43,4.0,1.72
0.43,4.1,1.763
0.43,4.2,1.806
0.43,4.3,1.849
0.43,4.4,1.892
0.43,4.6,1.978
0.43,4.7,2.021
0.43,4.8,2.064
0.43,4.9,2.107
0.43,5.0,2.15
0.428,5.2,2.2256
0.428,5.3,2.2684
0.428,5.4,2.3112
0.427,5.5,2.3485
0.427,5.7,2.4339
0.426,5.8,2.4708
0.426,5.9,2.5134
0.426,6.0,2.556
0.426,6.1,2.5986
0.425,6.3,2.6775
0.424,6.4,2.7136
0.425,6.5,2.7625
0.424,6.6,2.7984
0.424,6.7,2.8408
0.423,6.9,2.9187
0.423,7.0,2.961
0.422,7.1,2.9962
0.422,7.2,3.0384
0.421,7.4,3.1154
0.421,7.5,3.1575
0.42,7.6,3.192
0.42,7.7,3.234
0.42,7.8,3.276
0.419,8.0,3.352
0.418,8.1,3.3858
0.418,8.2,3.4276
0.418,8.3,3.4694
0.418,8.4,3.5112
0.417,8.6,3.5862
0.416,8.7,3.6192
0.416,8.8,3.6608
0.416,8.9,3.7024
0.415,9.1,3.7765
0.414,9.2,3.8088
0.414,9.3,3.8502
0.413,9.4,3.8822
0.413,9.5,3.9235
0.412,9.7,3.9964
0.412,9.8,4.0376
0.411,9.9,4.0689
0.411,10.0,4.11
0.411,10.1,4.1511
0.41,10.3,4.223
0.409,10.4,4.2536
0.409,10.5,4.2945
0.408,10.6,4.3248
0.408,10.7,4.3656
0.408,10.9,4.4472
0.407,11.0,4.477
0.406,11.1,4.5066
0.406,11.2,4.5472
0.405,11.4,4.617
0.405,11.5,4.6575
0.404,11.6,4.6864
0.403,11.7,4.7151
0.403,11.8,4.7554
0.402,12.0,4.824
0.401,12.1,4.8521
0.401,12.2,4.8922
0.4,12.3,4.92
0.4,12.4,4.96
0.399,12.6,5.0274
0.398,12.7,5.0546
0.398,12.8,5.0944
0.397,12.9,5.1213
0.396,13.1,5.1876
0.395,13.2,5.214
0.395,13.3,5.2535
0.394,13.4,5.2796
0.393,13.5,5.3055
0.392,13.7,5.3704
0.391,13.8,5.3958
0.391,13.9,5.4349
0.391,14.0,5.474
0.39,14.1,5.499
0.389,14.3,5.5627
0.388,14.4,5.5872
0.388,14.5,5.626
0.386,14.6,5.6356
0.386,14.8,5.7128
0.384,14.9,5.7216
0.384,15.0,5.76
0.383,15.1,5.7833
0.382,15.2,5.8064
0.381,15.4,5.8674
0.38,15.5,5.89
0.379,15.6,5.9124
0.379,15.7,5.9503
0.378,15.8,5.9724
0.377,16.0,6.032
0.375,16.1,6.0375
0.374,16.2,6.0588
0.374,16.3,6.0962
0.373,16.5,6.1545
0.372,16.6,6.1752
0.371,16.7,6.1957
0.371,16.8,6.2328
0.37,16.9,6.253
0.368,17.1,6.2928
0.367,17.2,6.3124
0.366,17.3,6.3318
0.365,17.4,6.351
0.364,17.5,6.37
0.361,17.7,6.3897
0.361,17.8,6.4258
0.36,17.9,6.444
0.36,18.0,6.48
0.0,18.2,0.0
