Sample Number,1
Date & Time,26-6-17 11:51:59
Vopen (V),0.01
Ishort (A),666.2
Vmaxp (V),1
Imaxp (A),1
Pmax (W),1
V (V),I (A),P (W)
0.417,0.0,0.0
0.417,0.0,0.0
0.417,0.2,0.0417
0.417,0.2,0.0417
0.418,0.4,0.0836
0.418,0.4,0.0836
0.417,0.6,0.1251
0.418,0.6,0.1254
0.417,0.8,0.1668
0.418,0.8,0.1672
0.418,1.0,0.209
0.417,1.0,0.2085
0.417,1.2,0.2502
0.417,1.2,0.2502
0.417,1.4,0.2919
0.418,1.4,0.2926
0.418,1.6,0.3344
0.418,1.6,0.3344
0.417,1.8,0.3753
0.417,1.8,0.3753
0.417,2.0,0.417
0.417,2.0,0.417
0.417,2.2,0.4587
0.418,2.2,0.4598
0.418,2.4,0.5016
0.418,2.4,0.5016
0.417,2.4,0.5004
0.417,2.6,0.5421
0.417,2.6,0.5421
0.418,2.8,0.5852
0.418,2.8,0.5852
0.417,3.0,0.6255
0.417,3.0,0.6255
0.417,3.2,0.6672
0.417,3.2,0.6672
0.418,3.4,0.7106
0.417,3.4,0.7089
0.417,3.6,0.7506
0.417,3.6,0.7506
0.417,3.8,0.7923
0.417,3.8,0.7923
0.417,4.0,0.834
0.417,4.0,0.834
0.417,4.2,0.8757
0.417,4.2,0.8757
0.418,4.4,0.9196
0.417,4.4,0.9174
0.417,4.6,0.9591
0.418,4.6,0.9614
0.418,4.8,1.0032
0.417,4.8,1.0008
0.417,4.8,1.0008
0.417,5.0,1.0425
0.418,5.0,1.045
0.418,5.2,1.0868
0.416,5.2,1.0816
0.415,5.4,1.1205
0.415,5.4,1.1205
0.414,5.6,1.1592
0.414,5.6,1.1592
0.413,5.8,1.1977
0.413,5.8,1.1977
0.413,6.0,1.239
0.412,6.0,1.236
0.412,6.2,1.2772
0.411,6.2,1.2741
0.411,6.4,1.3152
0.41,6.4,1.312
0.41,6.6,1.353
0.41,6.6,1.353
0.409,6.8,1.3906
0.408,6.8,1.3872
0.408,7.0,1.428
0.408,7.0,1.428
0.407,7.2,1.4652
0.407,7.2,1.4652
0.407,7.2,1.4652
0.406,7.4,1.5022
0.406,7.4,1.5022
0.405,7.6,1.539
0.405,7.6,1.539
0.404,7.8,1.5756
0.403,7.8,1.5717
0.403,8.0,1.612
0.402,8.0,1.608
0.402,8.2,1.6482
0.401,8.2,1.6441
0.4,8.4,1.68
0.4,8.4,1.68
0.4,8.6,1.72
0.399,8.6,1.7157
0.398,8.8,1.7512
0.398,8.8,1.7512
0.398,9.0,1.791
0.397,9.0,1.7865
0.396,9.2,1.8216
0.395,9.2,1.817
0.395,9.4,1.8565
0.394,9.4,1.8518
0.393,9.6,1.8864
0.393,9.6,1.8864
0.393,9.6,1.8864
0.392,9.8,1.9208
0.392,9.8,1.9208
0.392,10.0,1.96
0.391,10.0,1.955
0.39,10.2,1.989
0.389,10.2,1.9839
0.389,10.4,2.0228
0.389,10.4,2.0228
0.388,10.6,2.0564
0.387,10.6,2.0511
0.386,10.8,2.0844
0.386,10.8,2.0844
0.384,11.0,2.112
0.384,11.0,2.112
0.383,11.2,2.1448
0.382,11.2,2.1392
0.382,11.4,2.1774
0.381,11.4,2.1717
0.381,11.6,2.2098
0.38,11.6,2.204
0.379,11.8,2.2361
0.378,11.8,2.2302
0.377,12.0,2.262
0.378,12.0,2.268
0.377,12.0,2.262
0.375,12.2,2.2875
0.375,12.2,2.2875
0.375,12.4,2.325
0.373,12.4,2.3126
0.372,12.6,2.3436
0.371,12.6,2.3373
0.371,12.8,2.3744
0.37,12.8,2.368
0.37,13.0,2.405
0.368,13.0,2.392
0.367,13.2,2.4222
0.366,13.2,2.4156
0.365,13.4,2.4455
0.364,13.4,2.4388
0.363,13.6,2.4684
0.363,13.6,2.4684
0.362,13.8,2.4978
0.361,13.8,2.4909
0.36,14.0,2.52
0.358,14.0,2.506
0.357,14.2,2.5347
0.357,14.2,2.5347
0.0,14.4,0.0
