Sample Number,1
Date & Time,2026-06-16 15:57:31.760509
Vopen (V),4.39
Ishort (A),21.3
Vmaxp (V),0.359
Imaxp (A),0.21
Pmax (W),0.07539
V (V),I (A),P (W)
0.438,0.1,0.0438
0.438,0.2,0.0876
0.438,0.4,0.1752
0.438,0.5,0.219
0.438,0.7,0.3066
0.438,0.8,0.3504
0.438,0.9,0.3942
0.438,1.1,0.4818
0.438,1.2,0.5256
0.438,1.4,0.6132
0.438,1.5,0.657
0.438,1.7,0.7446
0.438,1.8,0.7884
0.438,1.9,0.8322
0.438,2.1,0.9198
0.438,2.2,0.9636
0.438,2.4,1.0512
0.438,2.5,1.095
0.438,2.6,1.1388
0.438,2.8,1.2264
0.438,2.9,1.2702
0.438,3.1,1.3578
0.438,3.2,1.4016
0.438,3.4,1.4892
0.438,3.5,1.533
0.438,3.6,1.5768
0.438,3.8,1.6644
0.438,3.9,1.7082
0.438,4.1,1.7958
0.438,4.2,1.8396
0.438,4.4,1.9272
0.438,4.5,1.971
0.438,4.6,2.0148
0.438,4.8,2.1024
0.438,4.9,2.1462
0.438,5.1,2.2338
0.436,5.2,2.2672
0.436,5.3,2.3108
0.436,5.5,2.398
0.436,5.6,2.4416
0.435,5.8,2.523
0.435,5.9,2.5665
0.435,6.1,2.6535
0.434,6.2,2.6908
0.434,6.3,2.7342
0.433,6.5,2.8145
0.433,6.6,2.8578
0.433,6.8,2.9444
0.432,6.9,2.9808
0.431,7.1,3.0601
0.431,7.2,3.1032
0.431,7.3,3.1463
0.43,7.5,3.225
0.43,7.6,3.268
0.429,7.8,3.3462
0.429,7.9,3.3891
0.429,8.0,3.432
0.428,8.2,3.5096
0.428,8.3,3.5524
0.428,8.5,3.638
0.427,8.6,3.6722
0.427,8.8,3.7576
0.426,8.9,3.7914
0.426,9.0,3.834
0.425,9.2,3.91
0.425,9.3,3.9525
0.424,9.5,4.028
0.424,9.6,4.0704
0.424,9.7,4.1128
0.423,9.9,4.1877
0.422,10.0,4.22
0.422,10.2,4.3044
0.422,10.3,4.3466
0.421,10.5,4.4205
0.42,10.6,4.452
0.42,10.7,4.494
0.419,10.9,4.5671
0.419,11.0,4.609
0.418,11.2,4.6816
0.418,11.3,4.7234
0.417,11.5,4.7955
0.417,11.6,4.8372
0.416,11.7,4.8672
0.416,11.9,4.9504
0.415,12.0,4.98
0.414,12.2,5.0508
0.414,12.3,5.0922
0.414,12.4,5.1336
0.412,12.6,5.1912
0.412,12.7,5.2324
0.411,12.9,5.3019
0.411,13.0,5.343
0.41,13.2,5.412
0.409,13.3,5.4397
0.409,13.4,5.4806
0.408,13.6,5.5488
0.408,13.7,5.5896
0.407,13.9,5.6573
0.407,14.0,5.698
0.406,14.2,5.7652
0.405,14.3,5.7915
0.405,14.4,5.832
0.404,14.6,5.8984
0.403,14.7,5.9241
0.401,14.9,5.9749
0.401,15.0,6.015
0.4,15.1,6.04
0.4,15.3,6.12
0.4,15.4,6.16
0.398,15.6,6.2088
0.397,15.7,6.2329
0.397,15.9,6.3123
0.396,16.0,6.336
0.395,16.1,6.3595
0.394,16.3,6.4222
0.393,16.4,6.4452
0.392,16.6,6.5072
0.392,16.7,6.5464
0.39,16.8,6.552
0.39,17.0,6.63
0.389,17.1,6.6519
0.388,17.3,6.7124
0.387,17.4,6.7338
0.386,17.6,6.7936
0.385,17.7,6.8145
0.384,17.8,6.8352
0.383,18.0,6.894
0.383,18.1,6.9323
0.381,18.3,6.9723
0.38,18.4,6.992
0.379,18.6,7.0494
0.379,18.7,7.0873
0.377,18.8,7.0876
0.375,19.0,7.125
0.375,19.1,7.1625
0.373,19.3,7.1989
0.373,19.4,7.2362
0.372,19.5,7.254
0.371,19.7,7.3087
0.37,19.8,7.326
0.368,20.0,7.36
0.367,20.1,7.3767
0.365,20.3,7.4095
0.364,20.4,7.4256
0.363,20.5,7.4415
0.361,20.7,7.4727
0.361,20.8,7.5088
0.359,21.0,7.539
0.357,21.1,7.5327
0.0,21.3,0.0
