Sample Number,1
Date & Time,2026-06-16 18:41:59.843517
Vopen (V),3.92
Ishort (A),8.0
Vmaxp (V),0.369
Imaxp (A),0.079
Pmax (W),0.029151
V (V),I (A),P (W)
0.392,0.0,0.0
0.391,0.1,0.0391
0.391,0.1,0.0391
0.392,0.2,0.0784
0.392,0.2,0.0784
0.391,0.3,0.1173
0.392,0.3,0.1176
0.391,0.4,0.1564
0.392,0.4,0.1568
0.391,0.5,0.1955
0.392,0.5,0.196
0.392,0.6,0.2352
0.392,0.6,0.2352
0.391,0.7,0.2737
0.391,0.8,0.3128
0.391,0.8,0.3128
0.391,0.9,0.3519
0.392,0.9,0.3528
0.392,1.0,0.392
0.392,1.0,0.392
0.392,1.1,0.4312
0.392,1.1,0.4312
0.392,1.2,0.4704
0.391,1.2,0.4692
0.391,1.3,0.5083
0.391,1.3,0.5083
0.391,1.4,0.5474
0.392,1.4,0.5488
0.392,1.5,0.588
0.391,1.6,0.6256
0.391,1.6,0.6256
0.392,1.7,0.6664
0.392,1.7,0.6664
0.391,1.8,0.7038
0.392,1.8,0.7056
0.391,1.9,0.7429
0.391,1.9,0.7429
0.392,2.0,0.784
0.391,2.0,0.782
0.392,2.1,0.8232
0.391,2.1,0.8211
0.392,2.2,0.8624
0.391,2.2,0.8602
0.392,2.3,0.9016
0.392,2.4,0.9408
0.391,2.4,0.9384
0.392,2.5,0.98
0.392,2.5,0.98
0.391,2.6,1.0166
0.391,2.6,1.0166
0.392,2.7,1.0584
0.391,2.7,1.0557
0.391,2.8,1.0948
0.391,2.8,1.0948
0.391,2.9,1.1339
0.392,2.9,1.1368
0.392,3.0,1.176
0.392,3.0,1.176
0.392,3.1,1.2152
0.392,3.2,1.2544
0.392,3.2,1.2544
0.392,3.3,1.2936
0.392,3.3,1.2936
0.392,3.4,1.3328
0.392,3.4,1.3328
0.391,3.5,1.3685
0.391,3.5,1.3685
0.391,3.6,1.4076
0.392,3.6,1.4112
0.392,3.7,1.4504
0.391,3.7,1.4467
0.391,3.8,1.4858
0.392,3.8,1.4896
0.391,3.9,1.5249
0.392,4.0,1.568
0.392,4.0,1.568
0.391,4.1,1.6031
0.392,4.1,1.6072
0.391,4.2,1.6422
0.392,4.2,1.6464
0.391,4.3,1.6813
0.392,4.3,1.6856
0.391,4.4,1.7204
0.392,4.4,1.7248
0.391,4.5,1.7595
0.391,4.5,1.7595
0.392,4.6,1.8032
0.391,4.6,1.7986
0.391,4.7,1.8377
0.392,4.8,1.8816
0.392,4.8,1.8816
0.391,4.9,1.9159
0.391,4.9,1.9159
0.389,5.0,1.945
0.39,5.0,1.95
0.389,5.1,1.9839
0.389,5.1,1.9839
0.389,5.2,2.0228
0.389,5.2,2.0228
0.388,5.3,2.0564
0.388,5.3,2.0564
0.387,5.4,2.0898
0.387,5.4,2.0898
0.387,5.5,2.1285
0.386,5.6,2.1616
0.386,5.6,2.1616
0.385,5.7,2.1945
0.385,5.7,2.1945
0.385,5.8,2.233
0.384,5.8,2.2272
0.383,5.9,2.2597
0.384,5.9,2.2656
0.383,6.0,2.298
0.383,6.0,2.298
0.383,6.1,2.3363
0.382,6.1,2.3302
0.382,6.2,2.3684
0.382,6.2,2.3684
0.381,6.3,2.4003
0.381,6.4,2.4384
0.38,6.4,2.432
0.38,6.5,2.47
0.38,6.5,2.47
0.379,6.6,2.5014
0.379,6.6,2.5014
0.378,6.7,2.5326
0.379,6.7,2.5393
0.378,6.8,2.5704
0.377,6.8,2.5636
0.377,6.9,2.6013
0.377,6.9,2.6013
0.377,7.0,2.639
0.376,7.0,2.632
0.375,7.1,2.6625
0.374,7.2,2.6928
0.374,7.2,2.6928
0.374,7.3,2.7302
0.374,7.3,2.7302
0.373,7.4,2.7602
0.373,7.4,2.7602
0.373,7.5,2.7975
0.373,7.5,2.7975
0.371,7.6,2.8196
0.371,7.6,2.8196
0.37,7.7,2.849
0.37,7.7,2.849
0.37,7.8,2.886
0.37,7.8,2.886
0.369,7.9,2.9151
0.0,8.0,0.0
